winner,loser,game_id,url,date,home_won
Wisconsin,Stanford,323,https://www.sports-reference.com/cbb/boxscores/2022-11-11-03-stanford.html,2022-11-11,1
Boston College,Detroit Mercy,324,https://www.sports-reference.com/cbb/boxscores/2022-11-11-13-boston-college.html,2022-11-11,1
New Hampshire,Fairfield,325,https://www.sports-reference.com/cbb/boxscores/2022-11-11-13-new-hampshire.html,2022-11-11,1
Jacksonville,Johnson (Fl),326,https://www.sports-reference.com/cbb/boxscores/2022-11-11-14-jacksonville.html,2022-11-11,1
Air Force,Delaware,327,https://www.sports-reference.com/cbb/boxscores/2022-11-11-17-air-force.html,2022-11-11,1
Central Arkansas,Hendrix,328,https://www.sports-reference.com/cbb/boxscores/2022-11-11-17-central-arkansas.html,2022-11-11,1
UCSB,Fresno State,329,https://www.sports-reference.com/cbb/boxscores/2022-11-11-17-fresno-state.html,2022-11-11,1
Toledo,UAB,330,https://www.sports-reference.com/cbb/boxscores/2022-11-11-17-toledo.html,2022-11-11,1
UConn,Boston University,331,https://www.sports-reference.com/cbb/boxscores/2022-11-11-18-connecticut.html,2022-11-11,1
George Washington,Howard,332,https://www.sports-reference.com/cbb/boxscores/2022-11-11-18-george-washington.html,2022-11-11,1
Louisiana,Harvard,333,https://www.sports-reference.com/cbb/boxscores/2022-11-11-18-harvard.html,2022-11-11,0
Stony Brook,Miami-Hamilton,334,https://www.sports-reference.com/cbb/boxscores/2022-11-11-18-stony-brook.html,2022-11-11,1
Mississippi State,Akron,335,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-akron.html,2022-11-11,0
Kansas State,California,336,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-california.html,2022-11-11,0
UCF,Florida State,337,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-central-florida.html,2022-11-11,1
Coastal Carolina,Methodist,338,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-coastal-carolina.html,2022-11-11,1
Coppin State,Mount St. Mary's,339,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-coppin-state.html,2022-11-11,1
Bryant,Dartmouth,340,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-dartmouth.html,2022-11-11,0
Drexel,Old Dominion,341,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-drexel.html,2022-11-11,1
Florida,Kennesaw State,342,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-florida.html,2022-11-11,1
Furman,Belmont,343,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-furman.html,2022-11-11,1
George Mason,Longwood,344,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-george-mason.html,2022-11-11,1
Hofstra,Iona,345,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-hofstra.html,2022-11-11,1
Maine,Maine-Fort Kent,346,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-maine.html,2022-11-11,1
