mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,game_outcome,team,gameid
200.0,18.0,55.0,0.327,15.0,30.0,0.5,3.0,25.0,0.12,11.0,17.0,0.647,9.0,29.0,38.0,14.0,3.0,8.0,15.0,13.0,50.0,0.396,0.355,0.455,0.309,24.3,72.5,49.4,77.8,4.2,15.7,19.2,100.0,69.4,108.3,loser,Penn,75
200.0,34.0,67.0,0.507,23.0,34.0,0.676,11.0,33.0,0.333,10.0,14.0,0.714,9.0,32.0,41.0,25.0,10.0,5.0,11.0,12.0,89.0,0.604,0.59,0.493,0.209,28.1,80.0,56.9,73.5,13.2,10.0,13.0,100.0,117.1,76.3,winner,Iowa,76
200.0,23.0,66.0,0.348,18.0,50.0,0.36,5.0,16.0,0.313,7.0,7.0,1.0,8.0,23.0,31.0,11.0,6.0,2.0,16.0,16.0,58.0,0.418,0.386,0.242,0.106,20.0,71.9,43.1,47.8,7.9,5.9,18.8,100.0,76.3,117.1,loser,Bethune-Cookman,76
200.0,36.0,61.0,0.59,26.0,35.0,0.743,10.0,26.0,0.385,17.0,23.0,0.739,8.0,27.0,35.0,14.0,14.0,3.0,15.0,19.0,99.0,0.688,0.672,0.426,0.377,33.3,69.2,55.6,38.9,17.5,6.7,17.3,100.0,123.8,70.0,winner,Kennesaw State,77
200.0,21.0,62.0,0.339,17.0,45.0,0.378,4.0,17.0,0.235,10.0,22.0,0.455,12.0,16.0,28.0,6.0,8.0,2.0,21.0,19.0,56.0,0.386,0.371,0.274,0.355,30.8,66.7,44.4,28.6,10.0,5.7,22.5,100.0,70.0,123.8,loser,LaGrange,77
200.0,36.0,67.0,0.537,24.0,34.0,0.706,12.0,33.0,0.364,20.0,24.0,0.833,8.0,31.0,39.0,27.0,10.0,4.0,10.0,12.0,104.0,0.663,0.627,0.493,0.358,29.6,88.6,62.9,75.0,12.5,13.8,11.3,100.0,130.0,47.5,winner,Liberty,78
200.0,10.0,51.0,0.196,4.0,29.0,0.138,6.0,22.0,0.273,12.0,15.0,0.8,4.0,19.0,23.0,7.0,7.0,3.0,25.0,23.0,38.0,0.327,0.255,0.431,0.294,11.4,70.4,37.1,70.0,8.8,8.8,30.1,100.0,47.5,130.0,loser,Regent,78
200.0,25.0,51.0,0.49,16.0,31.0,0.516,9.0,20.0,0.45,12.0,14.0,0.857,11.0,19.0,30.0,12.0,9.0,8.0,10.0,14.0,71.0,0.616,0.578,0.392,0.275,45.8,61.3,54.5,48.0,15.8,16.3,14.8,100.0,124.6,86.0,winner,Maryland,79
200.0,22.0,55.0,0.4,22.0,49.0,0.449,0.0,6.0,0.0,5.0,8.0,0.625,12.0,13.0,25.0,13.0,3.0,3.0,11.0,12.0,49.0,0.417,0.4,0.109,0.145,38.7,54.2,45.5,59.1,5.3,9.7,15.8,100.0,86.0,124.6,loser,Niagara,79
200.0,38.0,71.0,0.535,29.0,52.0,0.558,9.0,19.0,0.474,9.0,12.0,0.75,14.0,31.0,45.0,24.0,8.0,5.0,13.0,8.0,94.0,0.613,0.599,0.268,0.169,43.8,83.8,65.2,63.2,10.5,13.5,14.5,100.0,123.7,88.2,winner,UMass,80
200.0,27.0,66.0,0.409,18.0,37.0,0.486,9.0,29.0,0.31,4.0,6.0,0.667,6.0,18.0,24.0,15.0,8.0,4.0,13.0,10.0,67.0,0.487,0.477,0.439,0.091,16.2,56.3,34.8,55.6,10.5,7.7,15.9,100.0,88.2,123.7,loser,Central Connecticut,80
200.0,21.0,58.0,0.362,11.0,24.0,0.458,10.0,34.0,0.294,15.0,25.0,0.6,17.0,26.0,43.0,13.0,9.0,1.0,9.0,17.0,67.0,0.479,0.448,0.586,0.431,41.5,76.5,57.3,61.9,14.1,5.6,11.4,100.0,104.7,84.4,winner,Miami (FL),81
199.0,19.0,52.0,0.365,9.0,18.0,0.5,10.0,34.0,0.294,6.0,16.0,0.375,8.0,24.0,32.0,14.0,4.0,2.0,14.0,21.0,54.0,0.453,0.462,0.654,0.308,23.5,58.5,42.7,73.7,6.3,8.3,19.0,100.0,84.4,104.7,loser,Lafayette,81
200.0,29.0,65.0,0.446,20.0,38.0,0.526,9.0,27.0,0.333,6.0,8.0,0.75,10.0,32.0,42.0,17.0,6.0,6.0,9.0,16.0,73.0,0.531,0.515,0.415,0.123,28.6,82.1,56.8,58.6,8.7,20.0,11.6,100.0,105.8,79.7,winner,Michigan State,82
200.0,19.0,60.0,0.317,11.0,30.0,0.367,8.0,30.0,0.267,9.0,13.0,0.692,7.0,25.0,32.0,13.0,5.0,2.0,11.0,13.0,55.0,0.416,0.383,0.5,0.217,17.9,71.4,43.2,68.4,7.2,5.3,14.3,100.0,79.7,105.8,loser,Northern Arizona,82
